Added to the Index			Dropped from the Index													
Company	Ticker	Old Name & Ticker	Company	Ticker	Old Name & Ticker	Date	Year									
Seagate Technology	STX		Progress Energy Inc.	PGN		July 2, 2012	2012									
Monster Beverage	MNST		Sara Lee Corp.	SLE		June 29, 2012	2012									
Lam Research	LRCX		Novellus Systems	NVLS		June 5, 2012	2012									
Alexion Pharmaceuticals	ALXN		Motorola Mobility	MMI		May 21, 2012	2012									
Kinder Morgan	KMI		El Paso Corp.	EP		May 17, 2012	2012									
Phillips 66	PSX		Supervalu Inc.	SVU		April 23, 2012	2012									
Fossil, Inc.	FOSL		Medco Health Solutions	MHS		April 3, 2012	2012									
Crown Castle Int'l Corp.	CCI		Constellation Energy Group	CEG		March 13, 2012	2012									
WPX Energy Inc	WPX		Compuware	CPWR		December 31, 2011	2011									
TripAdvisor	TRIP		Tellabs Inc.	TLAB		December 20, 2011	2011									
BorgWarner	BWA		AK Steel Holding Corp.	AKS		December 16, 2011	2011									
Perrigo	PRGO		Monster Worldwide Inc.	MWW		December 16, 2011	2011									
Dollar Tree	DLTR		MEMC Electronic Materials	WFR		December 16, 2011	2011									
AGL Resources Inc.	GAS		AGL Resources Inc.	GAS		December 12, 2011	2011									
Cooper Industries	CBE		Janus Capital Group	JNS		November 18, 2011	2011									
Xylem Inc.	XYL		ITT Corp.	ITT		October 31, 2011	2011									
TE Connectivity Ltd.	TEL		Cephalon Inc.	CEPH		October 14, 2011	2011									
The Mosaic Co.	MOS		National Semiconductor	NSM		September 23, 2011	2011									
Accenture plc	ACN		Marshall & Iisley Corp.	MI		July 5, 2011	2011									
Marathon Petroleum	MPC		RadioShack Corp.	RSH		June 30, 2011	2011									
Alpha Natural Resources	ANR		Massey Energy Co.	MEE		June 1, 2011	2011									
Chipotle Mexican Grill	CMG		Novell, Inc.	NOVL		April 27, 2011	2011									
BlackRock	BLK		Genzyme Corp.	GENZ		April 1, 2011	2011									
Edwards Lifesciences	EW		Qwest Communications	Q		March 31, 2011	2011									
Covidien	COV		McAfee Inc.	MFE		February 28, 2011	2011									
Joy Global Inc.	JOY	Joy Global Inc. (JOYG)	Allegheny Energy Inc.	AYE		February 25, 2011	2011									
Noble Corp.	NE		QLogic Corp.	QLGC		January 14, 2011	2011									
Cablevision Systems Corp.	CVC		King Pharmaceuticals Inc.	KG		December 17, 2010	2010									
F5 Networks	FFIV		Eastman Kodak Co.	EK		December 17, 2010	2010									
Netflix Inc.	NFLX		Office Depot Inc.	ODP		December 17, 2010	2010									
Newfield Exploration Co.	NFX		The New York Times Co.	NYT		December 17, 2010	2010									
Ingersoll-Rand PLC	IR		Pactiv LLC	PTV		November 16, 2010	2010									
Tyco Int'l	TYC		Smith International Inc.	SII		August 26, 2010	2010									
ACE Limited	ACE		Millipore Inc.	MIL		July 14, 2010	2010									
QEP Resources	QEP		Questar Corp.	STR		June 30, 2010	2010									
Carmax Inc.	KMX		XTO Energy Inc.	XTO		June 28, 2010	2010									
Cerner	CERN		BJ Services Co.	BJS		April 29, 2010	2010									
ONEOK, Inc.	OKE		Black & Decker	BDK		March 12, 2010	2010									
Discovery Com Class A	DISCA		Pepsi Bottling Group Inc.	PBG		February 26, 2010	2010									
Berkshire Hathaway	BRK.B		Burlington Northern	BNI		February 12, 2010	2010									
Urban Outfitters	URBN		ACS Inc.	ACS		January 29, 2010	2010									
Roper Industries	ROP		Ensco plc	ESV		December 22, 2009	2009									
Mead Johnson	MJN		MBIA Corp.	MBI		December 18, 2009	2009									
Visa Inc.	V		Ciena Corp.	CIEN		December 18, 2009	2009									
Ross Stores	ROST		Dynegy Inc.	DYN		December 18, 2009	2009									
Cliffs Natural Resources	CLF		KB Home	KBH		December 18, 2009	2009									
SAIC	SAIC		Convergys Corp.	CVG		December 18, 2009	2009									
Priceline.com Inc	PCLN		Schering-Plough Corp.	SGP		November 3, 2009	2009									
First Solar Inc	FSLR		Wyeth Corp.	WYE		October 15, 2009	2009									
Airgas Inc.	ARG		Cooper Industries	CBE		September 8, 2009	2009									
Carefusion	CFN		The Manitowoc Company	MTW		August 31, 2009	2009									
