Ticker	Company	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
CA	CA, Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CAG	ConAgra Foods Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CAH	Cardinal Health Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CAM	Cameron Int'l Corp.	X	X	X	X	X	X	X									
CAT	Caterpillar Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CB	Chubb Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CBE	Cooper Industries				X			X	X	X	X	X	X	X	X	X	X
CBG	CBRE Group	X	X	X	X	X	X	X	X	X							
CBH	Commerce Bancorp								X	X							
CBS	CBS Corp.	X	X	X	X	X	X	X	X	X	X						X
CBSS	Compass Bancshares									X	X	X					
CC	Circuit City Stores Inc.								X	X	X	X	X	X	X	X	X
CCE	Coca-Cola Enterprises	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CCI	Crown Castle Int'l Corp.	X	X	X													
CCK	Crown Cork & Seal																X
CCL	Carnival Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CCU	Clear Channel Comm's Inc.								X	X	X	X	X	X	X	X	X
CD	Cendant Corp.										X	X	X	X	X	X	X
CE	Concord EFS Inc.												X	X	X		
CEG	Constellation Energy Group				X	X	X	X	X	X	X	X	X	X	X	X	X
CELG	Celgene Corp.	X	X	X	X	X	X	X	X	X							
CEN	Ceridian Corp.															X	X
CEPH	Cephalon Inc.					X	X	X									
CERN	Cerner	X	X	X	X	X											
CF	CF Industries Holdings Inc.	X	X	X	X	X	X	X									
CF (C. O.)	Charter One Financial												X	X	X	X	
CFC	Countrywide Financial Corp.								X	X	X	X	X	X	X	X	X
CFN	Carefusion	X	X	X	X	X	X										
CG	Columbia Energy Group																X
CGP	Coastal Corp.															X	X
CHA	Champion International																X
CHIR	Chiron Corp.										X	X	X	X	X	X	
CHK	Chesapeake Energy	X	X	X	X	X	X	X	X	X							
CHRW	C. H. Robinson Worldwide	X	X	X	X	X	X	X	X								
CI	Cigna Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CIEN	Ciena Corp.							X	X	X	X	X	X	X	X		
CIN	Cinergy Corp.										X	X	X	X	X	X	X
CINF	Cincinnati Financial	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CIT	CIT Group Inc.							X	X	X	X	X				X	
CL	Colgate-Palmolive	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CLF	Cliffs Natural Resources		X	X	X	X	X										
CLX	The Clorox Company	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CMA	Comerica Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CMB	Chase Manhattan																X
CMCSA	Comcast Class A Comm.	X	X	X	X	X	X	X	X	X	X	X	X	X			
CMCSK	Comcast Class A Spec.														X	X	X
CME	CME Group Inc.	X	X	X	X	X	X	X	X	X							
CMG	Chipotle Mexican Grill	X	X	X	X												
CMI	Cummins Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CMS	CMS Energy	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CMVT	Comverse Technology									X	X	X	X	X	X	X	X
CMX	Caremark Rx Inc.									X	X	X					
CNC	Conseco Inc.														X	X	X
CNG	Consolidated Natural Gas																X
CNP	CenterPoint Energy	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CNX	Consol Energy Inc.	X	X	X	X	X	X	X	X	X							
CNXT	Conexant Systems														X	X	
COC	Conoco Inc.														X	X	X
COF	Capital One Financial	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
COG	Cabot Oil & Gas	X	X	X	X	X	X	X									
COH	Coach Inc.	X	X	X	X	X	X	X	X	X	X	X					
COL	Rockwell Collins	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
COMS	3Com Corp.																X
COP	ConocoPhillips	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
COST	Costco Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
COV	Covidien	X	X	X	X			X	X								
CPB	Campbell Soup	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CPN	Calpine Corp.											X	X	X	X	X	
CPQ	COMPAQ Computer														X	X	X
CPWR	Compuware					X	X	X	X	X	X	X	X	X	X	X	X
CR	Crane Co.												X	X	X	X	X
CRM	Salesforce.com	X	X	X	X	X	X	X									
CS	Cabletron Systems															X	X
CSC	Computer Sciences Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CSCO	Cisco Systems	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CSR	Central & South West																X
CSX	CSX Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CTAS	Cintas Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
CTB	Cooper Tire & Rubber Co.										X	X	X	X	X	X	X
CTL	CenturyLink Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CTSH	Cognizant Technology Sol.	X	X	X	X	X	X	X	X	X							
CTX	Centex Corp.							X	X	X	X	X	X	X	X	X	X
CTXS	Citrix Systems	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
CVC	Cablevision Systems Corp.	X	X	X	X	X											
CVG	Convergys Corp.							X	X	X	X	X	X	X	X	X	
