Ticker	Company	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
XOM	Exxon Mobil Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
XRAY	Dentsply Int'l	X	X	X	X	X	X	X									
XRX	Xerox Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
XTO	XTO Energy Inc.						X	X	X	X	X	X					
XYL	Xylem Inc.	X	X	X	X												
YHOO	Yahoo Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
YUM	Yum! Brands Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ZION	Zions Bancorp	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
ZMH	Zimmer Holdings	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
ZTS	Zoetis, Inc.	X	X														
