Date,Open,High,Low,Close,Volume,Adj Close
2012-07-25,0.281,0.281,0.281,0.281,000,0.281
2012-07-24,0.281,0.281,0.281,0.281,000,0.281
2012-07-23,0.281,0.281,0.281,0.281,000,0.281
2012-07-20,0.281,0.281,0.281,0.281,000,0.281
2012-07-19,0.281,0.281,0.281,0.281,000,0.281
2012-07-18,0.281,0.281,0.281,0.281,000,0.281
2012-07-17,0.281,0.281,0.281,0.281,000,0.281
2012-07-16,0.281,0.281,0.281,0.281,000,0.281
2012-07-13,0.281,0.281,0.281,0.281,000,0.281
2012-07-12,0.281,0.281,0.281,0.281,000,0.281
2012-07-11,0.281,0.281,0.281,0.281,000,0.281
2012-07-10,0.281,0.281,0.281,0.281,000,0.281
2012-07-09,0.281,0.281,0.281,0.281,000,0.281
2012-07-06,0.281,0.281,0.281,0.281,000,0.281
2012-07-05,0.281,0.281,0.281,0.281,000,0.281
2012-07-04,0.281,0.281,0.281,0.281,000,0.281
2012-07-03,0.281,0.281,0.281,0.281,000,0.281
2012-07-02,0.281,0.281,0.281,0.281,000,0.281
2012-06-29,0.281,0.281,0.281,0.281,000,0.281
2012-06-28,0.281,0.281,0.281,0.281,000,0.281
2012-06-27,0.281,0.281,0.281,0.281,000,0.281
2012-06-26,0.281,0.281,0.281,0.281,000,0.281
2012-06-25,0.281,0.281,0.281,0.281,000,0.281
2012-06-22,0.281,0.281,0.281,0.281,000,0.281
2012-06-21,0.281,0.281,0.281,0.281,000,0.281
2012-06-20,0.281,0.281,0.281,0.281,000,0.281
2012-06-19,0.281,0.281,0.281,0.281,000,0.281
2012-06-18,0.281,0.281,0.281,0.281,000,0.281
2012-06-15,0.281,0.281,0.281,0.281,000,0.281
2012-06-14,0.281,0.281,0.281,0.281,000,0.281
2012-06-13,0.281,0.281,0.281,0.281,000,0.281
2012-06-12,0.281,0.281,0.281,0.281,000,0.281
2012-06-11,0.281,0.281,0.281,0.281,000,0.281
2012-06-08,0.281,0.281,0.281,0.281,000,0.281
2012-06-07,0.281,0.281,0.281,0.281,000,0.281
2012-06-06,0.281,0.281,0.281,0.281,000,0.281
2012-06-05,0.281,0.281,0.281,0.281,000,0.281
2012-06-04,0.281,0.281,0.281,0.281,000,0.281
2012-06-01,0.281,0.281,0.281,0.281,000,0.281
